t_s,mem_available_kb,mem_total_kb,matching_rss_kb,n_matching,detail
812.4,5700812,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
817.4,5700812,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
823.1,5700812,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
828.2,5700812,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
833.2,5700812,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
838.2,5702000,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
843.2,5702000,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
848.2,5703220,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
853.3,5703216,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
858.3,5703216,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
863.3,5703216,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
868.3,5703216,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
873.3,5703216,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
878.3,5704184,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
883.4,5704184,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
888.4,5704184,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
893.4,5703932,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
898.4,5703932,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
903.4,5705756,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
908.4,5705504,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
913.4,5703740,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
918.4,5703740,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
923.5,5703740,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
928.5,5835616,8216168,1792408,3,"6459:10724kB;6462:291092kB;6463:1490592kB"
933.5,5694400,8216168,1943224,3,"6459:10724kB;6462:441908kB;6463:1490592kB"
938.5,5654272,8216168,1975584,3,"6459:10724kB;6462:474268kB;6463:1490592kB"
943.5,5654272,8216168,1975584,3,"6459:10724kB;6462:474268kB;6463:1490592kB"
948.5,5654272,8216168,1975584,3,"6459:10724kB;6462:474268kB;6463:1490592kB"
953.5,5653516,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
958.5,5653516,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
963.6,5653516,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
968.6,5653516,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
973.6,5653516,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
978.6,5653516,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
983.6,5653516,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
988.6,5653516,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
993.6,5653516,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
998.6,5653516,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
1003.7,5653516,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
1008.7,5652532,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
1013.7,5651780,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
1018.7,5652548,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
1023.7,5653256,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
1028.7,5652608,8216168,1975588,3,"6459:10728kB;6462:474268kB;6463:1490592kB"
1033.7,6376192,8216168,1240324,3,"6459:10728kB;6462:474268kB;6463:755328kB"
1038.8,6565104,8216168,1066648,3,"6459:10728kB;6462:474268kB;6463:581652kB"
1043.8,6098608,8216168,1391032,3,"6459:10728kB;6462:474268kB;6463:906036kB"
1048.8,6098608,8216168,1480876,3,"6459:10728kB;6462:474268kB;6463:995880kB"
1053.8,6098608,8216168,1480876,3,"6459:10728kB;6462:474268kB;6463:995880kB"
1058.8,6129172,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1063.8,6135888,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1068.8,6136112,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1073.9,6136112,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1078.9,6138268,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1083.9,6138272,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1088.9,6138528,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1093.9,6138528,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1098.9,6139456,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1103.9,6142692,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1109.0,6142944,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1114.0,6142944,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1119.0,6142944,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1124.0,6142944,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1129.0,6142944,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1134.0,6142944,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1139.0,6142944,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1144.0,6142944,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1149.1,6142944,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1154.1,6146696,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
